#mass density[g/cm^3],  pressure [erg/cm^3],  baryonic_density [1/fm^3]
7.13065E+015, 1.79015E+036, 1
7.09482E+015, 1.77941E+036, 1
7.05899E+015, 1.76868E+036, 1
7.02315E+015, 1.75794E+036, 1
6.98732E+015, 1.74721E+036, 1
6.95149E+015, 1.73647E+036, 1
6.91566E+015, 1.72574E+036, 1
6.87982E+015, 1.71500E+036, 1
6.84399E+015, 1.70427E+036, 1
6.80816E+015, 1.69354E+036, 1
6.77233E+015, 1.68280E+036, 1
6.73649E+015, 1.67207E+036, 1
6.70066E+015, 1.66133E+036, 1
6.66483E+015, 1.65060E+036, 1
6.62900E+015, 1.63986E+036, 1
6.59316E+015, 1.62913E+036, 1
6.55733E+015, 1.61839E+036, 1
6.52150E+015, 1.60766E+036, 1
6.48567E+015, 1.59692E+036, 1
6.44983E+015, 1.58619E+036, 1
6.41400E+015, 1.57545E+036, 1
6.37817E+015, 1.56472E+036, 1
6.34234E+015, 1.55398E+036, 1
6.30651E+015, 1.54325E+036, 1
6.27067E+015, 1.53251E+036, 1
6.23484E+015, 1.52178E+036, 1
6.19901E+015, 1.51104E+036, 1
6.16318E+015, 1.50031E+036, 1
6.12734E+015, 1.48958E+036, 1
6.09151E+015, 1.47884E+036, 1
6.05568E+015, 1.46811E+036, 1
6.01985E+015, 1.45737E+036, 1
5.98401E+015, 1.44664E+036, 1
5.94818E+015, 1.43590E+036, 1
5.91235E+015, 1.42517E+036, 1
5.87652E+015, 1.41443E+036, 1
5.84068E+015, 1.40370E+036, 1
5.80485E+015, 1.39296E+036, 1
5.76902E+015, 1.38223E+036, 1
5.73319E+015, 1.37149E+036, 1
5.69735E+015, 1.36076E+036, 1
5.66152E+015, 1.35002E+036, 1
5.62569E+015, 1.33929E+036, 1
5.58986E+015, 1.32855E+036, 1
5.55402E+015, 1.31782E+036, 1
5.51819E+015, 1.30708E+036, 1
5.48236E+015, 1.29635E+036, 1
5.44653E+015, 1.28562E+036, 1
