#mass density[g/cm^3],  pressure [erg/cm^3],  baryonic_density [1/fm^3]
3.56533E+015, 7.58356E+035, 1
3.54741E+015, 7.52989E+035, 1
3.52949E+015, 7.47622E+035, 1
3.51158E+015, 7.42254E+035, 1
3.49366E+015, 7.36887E+035, 1
3.47574E+015, 7.31519E+035, 1
3.45783E+015, 7.26152E+035, 1
3.43991E+015, 7.20785E+035, 1
3.42200E+015, 7.15417E+035, 1
3.40408E+015, 7.10050E+035, 1
3.38616E+015, 7.04683E+035, 1
3.36825E+015, 6.99315E+035, 1
3.35033E+015, 6.93948E+035, 1
3.33241E+015, 6.88580E+035, 1
3.31450E+015, 6.83213E+035, 1
3.29658E+015, 6.77846E+035, 1
3.27867E+015, 6.72478E+035, 1
3.26075E+015, 6.67111E+035, 1
3.24283E+015, 6.61744E+035, 1
3.22492E+015, 6.56376E+035, 1
3.20700E+015, 6.51009E+035, 1
3.18908E+015, 6.45641E+035, 1
3.17117E+015, 6.40274E+035, 1
3.15325E+015, 6.34907E+035, 1
3.13534E+015, 6.29539E+035, 1
3.11742E+015, 6.24172E+035, 1
3.09950E+015, 6.18805E+035, 1
3.08159E+015, 6.13437E+035, 1
3.06367E+015, 6.08070E+035, 1
3.04576E+015, 6.02702E+035, 1
3.02784E+015, 5.97335E+035, 1
3.00992E+015, 5.91968E+035, 1
2.99201E+015, 5.86600E+035, 1
2.97409E+015, 5.81233E+035, 1
2.95617E+015, 5.75866E+035, 1
2.93826E+015, 5.70498E+035, 1
2.92034E+015, 5.65131E+035, 1
2.90243E+015, 5.59763E+035, 1
2.88451E+015, 5.54396E+035, 1
2.86659E+015, 5.49029E+035, 1
2.84868E+015, 5.43661E+035, 1
2.83076E+015, 5.38294E+035, 1
2.81284E+015, 5.32927E+035, 1
2.79493E+015, 5.27559E+035, 1
2.77701E+015, 5.22192E+035, 1
2.75910E+015, 5.16824E+035, 1
2.74118E+015, 5.11457E+035, 1
2.72326E+015, 5.06090E+035, 1
2.70535E+015, 5.00722E+035, 1
2.68743E+015, 4.95355E+035, 1
2.66951E+015, 4.89988E+035, 1
2.65160E+015, 4.84620E+035, 1
2.63368E+015, 4.79253E+035, 1
2.61577E+015, 4.73885E+035, 1
2.59785E+015, 4.68518E+035, 1
2.57993E+015, 4.63151E+035, 1
2.56202E+015, 4.57783E+035, 1
2.54410E+015, 4.52416E+035, 1
2.52619E+015, 4.47049E+035, 1
2.50827E+015, 4.41681E+035, 1
2.49035E+015, 4.36314E+035, 1
2.47244E+015, 4.30946E+035, 1
2.45452E+015, 4.25579E+035, 1
2.43660E+015, 4.20212E+035, 1
2.41869E+015, 4.14844E+035, 1
2.40077E+015, 4.09477E+035, 1
2.38286E+015, 4.04110E+035, 1
2.36494E+015, 3.98742E+035, 1
2.34702E+015, 3.93375E+035, 1
2.32911E+015, 3.88008E+035, 1
2.31119E+015, 3.82640E+035, 1
2.29327E+015, 3.77273E+035, 1
2.27536E+015, 3.71905E+035, 1
2.25744E+015, 3.66538E+035, 1
2.23953E+015, 3.61171E+035, 1
2.22161E+015, 3.55803E+035, 1
2.20369E+015, 3.50436E+035, 1
2.18578E+015, 3.45069E+035, 1
2.16786E+015, 3.39701E+035, 1
2.14994E+015, 3.34334E+035, 1
2.13203E+015, 3.28966E+035, 1
2.11411E+015, 3.23599E+035, 1
2.09620E+015, 3.18232E+035, 1
2.07828E+015, 3.12864E+035, 1
2.06036E+015, 3.07497E+035, 1
2.04245E+015, 3.02130E+035, 1
2.02453E+015, 2.96762E+035, 1
2.00662E+015, 2.91395E+035, 1
1.98870E+015, 2.86027E+035, 1
1.97078E+015, 2.80660E+035, 1
1.95287E+015, 2.75293E+035, 1
1.93495E+015, 2.69925E+035, 1
1.91703E+015, 2.64558E+035, 1
1.89912E+015, 2.59191E+035, 1
1.88120E+015, 2.53823E+035, 1
1.86329E+015, 2.48456E+035, 1
1.84537E+015, 2.43088E+035, 1
1.82745E+015, 2.37721E+035, 1
1.80954E+015, 2.32354E+035, 1
1.79162E+015, 2.26986E+035, 1
1.77370E+015, 2.21619E+035, 2
1.75579E+015, 2.16252E+035, 3
1.73787E+015, 2.10884E+035, 4
1.71996E+015, 2.05517E+035, 5
1.70204E+015, 2.00149E+035, 6
1.68412E+015, 1.94782E+035, 7
1.66621E+015, 1.89415E+035, 8
1.64829E+015, 1.84047E+035, 9
1.63037E+015, 1.78680E+035, 10
1.61246E+015, 1.73313E+035, 11
1.59454E+015, 1.67945E+035, 12
1.57663E+015, 1.62578E+035, 13
1.55871E+015, 1.57210E+035, 14
1.54079E+015, 1.51843E+035, 15
1.52288E+015, 1.46476E+035, 16
1.50496E+015, 1.41108E+035, 17
1.48705E+015, 1.35741E+035, 18
1.46913E+015, 1.30374E+035, 19
1.45121E+015, 1.25006E+035, 20
1.43330E+015, 1.19639E+035, 21
1.41538E+015, 1.14271E+035, 22
1.39746E+015, 1.08904E+035, 23
1.37955E+015, 1.03537E+035, 24
1.36163E+015, 9.81693E+034, 25
1.34372E+015, 9.28019E+034, 26
1.32580E+015, 8.74345E+034, 27
1.30788E+015, 8.20672E+034, 28
1.28997E+015, 7.66998E+034, 29
1.27205E+015, 7.13324E+034, 30
1.25413E+015, 6.59650E+034, 31
1.23622E+015, 6.05977E+034, 32
1.21830E+015, 5.52303E+034, 33
1.20039E+015, 4.98629E+034, 34
1.18247E+015, 4.44955E+034, 35
1.16455E+015, 3.91282E+034, 36
1.14664E+015, 3.37608E+034, 37
1.12872E+015, 2.83934E+034, 38
1.11080E+015, 2.30260E+034, 39
1.09289E+015, 1.76587E+034, 40
1.07497E+015, 1.22913E+034, 41
1.05706E+015, 6.92391E+033, 42
1.03914E+015, 1.55654E+033, 43
