central+AF8-energy,1396.12,,
,,,
+ACM-energy density, pressure,energy+AF8-density+AF8-dimensionless,pressure+AF8-dimensionless
0.000903375,4.2875E+AC0-007,6.47061140876143E+AC0-007,3.0710110878721E+AC0-010
0.00068175,3.1475E+AC0-007,4.88317623126952E+AC0-007,2.25446236713177E+AC0-010
0.000588375,2.58062E+AC0-007,4.21435836461049E+AC0-007,1.84842277168152E+AC0-010
0.000467044,1.89313E+AC0-007,3.34529983096009E+AC0-007,1.35599375411856E+AC0-010
0.000294694,1.01812E+AC0-007,2.11080709394608E+AC0-007,7.29249634701888E+AC0-011
0.000185906,5.46125E+AC0-008,1.33159040770134E+AC0-007,3.9117339483712E+AC0-011
0.000147656,4.1725E+AC0-008,1.05761682376873E+AC0-007,2.9886399449904E+AC0-011
7.39687E+AC0-005,1.6275E+AC0-008,0.000000053,1.16573073947798E+AC0-011
0.00003708,6.2875E+AC0-009,2.6559321548291E+AC0-008,4.50355270320603E+AC0-012
1.85794E+AC0-005,2.395621E+AC0-009,1.33078818439676E+AC0-008,1.71591338853394E+AC0-012
1.85737E+AC0-005,2.39562E+AC0-009,1.33037991003639E+AC0-008,1.71591267226313E+AC0-012
9.30938E+AC0-006,8.96875E+AC0-010,6.66803713147867E+AC0-009,6.42405380626307E+AC0-013
4.66481E+AC0-006,3.28688E+AC0-010,3.34126722631292E+AC0-009,2.35429619230439E+AC0-013
3.70575E+AC0-006,2.44437E+AC0-010,2.65432054551185E+AC0-009,1.75083087413689E+AC0-013
1.47488E+AC0-006,6.09687E+AC0-011,1.05641348881185E+AC0-009,4.36700999914048E+AC0-014
5.8725E+AC0-007,1.44875E+AC0-011,4.20630031802424E+AC0-010,1.03769733260751E+AC0-014
2.33775E+AC0-007,3.29125E+AC0-012,1.67446208062344E+AC0-010,2.35742629573389E+AC0-015
0.000000093,7.19375E+AC0-013,6.66400452683151E+AC0-011,5.15267312265421E+AC0-016
3.70519E+AC0-008,1.51938E+AC0-013,2.65391943385955E+AC0-011,1.08828753975303E+AC0-016
1.47488E+AC0-008,3.105E+AC0-014,1.05641348881185E+AC0-011,2.22402085780592E+AC0-017
5.8725E+AC0-009,6.09E+AC0-015,4.20630031802424E+AC0-012,4.3620892186918E+AC0-018
6.46875E+AC0-010,1.1875E+AC0-016,4.63337678709567E+AC0-013,8.50571584104518E+AC0-020
1.1925E+AC0-010,3.6375E+AC0-018,8.54152938142853E+AC0-014,2.60543506288858E+AC0-021
0,0,0,0
