#energia, pressao, nB, muB
2849.353657, 2200.427084, 2.459874, 834.539099
2837.519753, 2188.593181, 2.459874, 830.627699
2825.720503, 2176.793931, 2.459874, 826.727753
2813.955905, 2165.029333, 2.459874, 822.839261
2802.225960, 2153.299388, 2.459874, 818.962222
2790.530668, 2141.604096, 2.459874, 815.096637
2778.870029, 2129.943456, 2.459874, 811.242506
2767.244042, 2118.317470, 2.459874, 807.399828
2755.652708, 2106.726135, 2.459874, 803.568603
2744.096026, 2095.169454, 2.459874, 799.748833
2732.573998, 2083.647425, 2.459874, 795.940515
2721.086622, 2072.160049, 2.459874, 792.143652
2709.633899, 2060.707326, 2.459874, 788.358242
2698.215828, 2049.289256, 2.459874, 784.584285
2686.832410, 2037.905838, 2.459874, 780.821782
2675.483645, 2026.557073, 2.459874, 777.070733
2664.169533, 2015.242961, 2.459874, 773.331137
2652.890073, 2003.963501, 2.459874, 769.602995
2641.645266, 1992.718694, 2.459874, 765.886307
2630.435112, 1981.508540, 2.459874, 762.181072
2619.259611, 1970.333038, 2.459874, 758.487291
2608.118762, 1959.192190, 2.459874, 754.804963
2597.012566, 1948.085993, 2.459874, 751.134089
2585.941022, 1937.014450, 2.459874, 747.474668
2574.904132, 1925.977560, 2.459874, 743.826701
2563.901894, 1914.975322, 2.459874, 740.190188
2552.934309, 1904.007736, 2.459874, 736.565128
2542.001376, 1893.074804, 2.459874, 732.951522
2531.103097, 1882.176524, 2.459874, 729.349369
2520.239470, 1871.312897, 2.459874, 725.758670
2509.410495, 1860.483923, 2.459874, 722.179424
2498.616174, 1849.689601, 2.459874, 718.611633
2487.856505, 1838.929933, 2.459874, 715.055294
2477.131489, 1828.204916, 2.459874, 711.510410
2466.441125, 1817.514553, 2.459874, 707.976978
2455.785415, 1806.858842, 2.459874, 704.455001
2445.164357, 1796.237784, 2.459874, 700.944477
2434.577951, 1785.651379, 2.459874, 697.445406
2424.026199, 1775.099626, 2.459874, 693.957790
2413.509099, 1764.582527, 2.459874, 690.481626
2403.026652, 1754.100079, 2.459874, 687.016917
2392.578857, 1743.652285, 2.459874, 683.563661
2382.165716, 1733.239143, 2.459874, 680.121858
2371.787227, 1722.860654, 2.459874, 676.691509
2361.443390, 1712.516818, 2.459874, 673.272614
2351.134207, 1702.207635, 2.459874, 669.865172
2340.859676, 1691.933104, 2.459874, 666.469184
2330.619798, 1681.693226, 2.459874, 663.084650
2320.414573, 1671.488000, 2.459874, 659.711569
2310.244000, 1661.317428, 2.459874, 656.349942
2300.108080, 1651.181508, 2.459874, 652.999768
2290.006813, 1641.080240, 2.459874, 649.661048
2279.940198, 1631.013626, 2.459874, 646.333781
2269.908236, 1620.981664, 2.459874, 643.017968
2259.910927, 1610.984355, 2.459874, 639.713609
2249.948271, 1601.021699, 2.459874, 636.420703
2240.020267, 1591.093695, 2.459874, 633.139250
2230.126916, 1581.200344, 2.459874, 629.869252
2220.268218, 1571.341646, 2.459874, 626.610707
2210.444173, 1561.517600, 2.459874, 623.363615
2200.654780, 1551.728208, 2.459874, 620.127977
2190.900040, 1541.973468, 2.459874, 616.903793
2181.179953, 1532.253380, 2.459874, 613.691062
2171.494518, 1522.567946, 2.459874, 610.489785
2161.843736, 1512.917164, 2.459874, 607.299961
2152.227607, 1503.301035, 2.459874, 604.121591
2142.646130, 1493.719558, 2.459874, 600.954675
2133.099307, 1484.172734, 2.459874, 597.799212
2123.587136, 1474.660563, 2.459874, 594.655203
2114.109617, 1465.183045, 2.459874, 591.522647
2104.666752, 1455.740179, 2.459874, 588.401545
2095.258539, 1446.331967, 2.459874, 585.291897
2085.884979, 1436.958406, 2.459874, 582.193702
2076.546071, 1427.619499, 2.459874, 579.106961
2067.241817, 1418.315244, 2.459874, 576.031673
2057.972215, 1409.045642, 2.459874, 572.967839
2048.737265, 1399.810693, 2.459874, 569.915458
2039.536969, 1390.610396, 2.459874, 566.874531
2030.371325, 1381.444753, 2.459874, 563.845058
2021.240334, 1372.313761, 2.459874, 560.827038
2012.143995, 1363.217423, 2.459874, 557.820472
2003.082310, 1354.155737, 2.459874, 554.825359
1994.055277, 1345.128704, 2.459874, 551.841700
1985.062896, 1336.136324, 2.459874, 548.869495
1976.105169, 1327.178597, 2.459874, 545.908743
1967.182094, 1318.255522, 2.459874, 542.959445
1958.293672, 1309.367100, 2.459874, 540.021600
1949.439902, 1300.513330, 2.459874, 537.095209
1940.620786, 1291.694214, 2.459874, 534.180271
1931.836322, 1282.909750, 2.459874, 531.276787
1923.086511, 1274.159938, 2.459874, 528.384757
1914.371352, 1265.444780, 2.459874, 525.504180
1905.690846, 1256.764274, 2.459874, 522.635057
1897.044993, 1248.118421, 2.459874, 519.777387
1888.433793, 1239.507221, 2.459874, 516.931171
1879.857245, 1230.930673, 2.459874, 514.096409
1871.315350, 1222.388778, 2.459874, 511.273100
1862.808108, 1213.881536, 2.459874, 508.461245
1854.335519, 1205.408946, 2.459874, 505.660843
1845.897582, 1196.971009, 2.459874, 502.871895
1837.494298, 1188.567725, 2.459874, 500.094401
1829.125666, 1180.199094, 2.459874, 497.328360
1820.791688, 1171.865115, 2.459874, 494.573772
1812.492362, 1163.565790, 2.459874, 491.830639
1804.227689, 1155.301116, 2.459874, 489.098959
1795.997668, 1147.071096, 2.459874, 486.378732
1787.802300, 1138.875728, 2.459874, 483.669959
1779.641585, 1130.715013, 2.459874, 480.972640
1771.515523, 1122.588951, 2.459874, 478.286774
1763.424113, 1114.497541, 2.459874, 475.612362
1755.367357, 1106.440784, 2.459874, 472.949403
1747.345252, 1098.418680, 2.459874, 470.297898
1739.357801, 1090.431229, 2.459874, 467.657846
1731.405002, 1082.478430, 2.459874, 465.029249
1723.486856, 1074.560284, 2.459874, 462.412104
1715.603363, 1066.676791, 2.459874, 459.806414
1707.754522, 1058.827950, 2.459874, 457.212176
1699.940335, 1051.013762, 2.459874, 454.629393
1692.160799, 1043.234227, 2.459874, 452.058063
1684.415917, 1035.489345, 2.459874, 449.498187
1676.705687, 1027.779115, 2.459874, 446.949764
1669.030110, 1020.103538, 2.459874, 444.412795
1661.389186, 1012.462614, 2.459874, 441.887279
1653.782914, 1004.856342, 2.459874, 439.373217
1646.211296, 997.284723, 2.459874, 436.870608
1638.674330, 989.747757, 2.459874, 434.379454
1631.172016, 982.245444, 2.459874, 431.899752
1623.704355, 974.777783, 2.459874, 429.431505
1616.271347, 967.344775, 2.459874, 426.974711
1608.872992, 959.946420, 2.459874, 424.529370
1601.509290, 952.582717, 2.459874, 422.095483
1594.180240, 945.253668, 2.459874, 419.673050
1586.885843, 937.959271, 2.459874, 417.262070
1579.626098, 930.699526, 2.459874, 414.862544
1572.401007, 923.474435, 2.459874, 412.474471
1565.210568, 916.283996, 2.459874, 410.097852
1558.054782, 909.128209, 2.459874, 407.732687
1550.933648, 902.007076, 2.459874, 405.378975
1543.847167, 894.920595, 2.459874, 403.036717
1536.795339, 887.868767, 2.459874, 400.705912
1529.778164, 880.851592, 2.459874, 398.386561
1522.795641, 873.869069, 2.459874, 396.078664
1515.847771, 866.921199, 2.459874, 393.782220
1508.934554, 860.007982, 2.459874, 391.497229
1502.055990, 853.129417, 2.459874, 389.223693
1495.212078, 846.285506, 2.459874, 386.961609
1488.402819, 839.476247, 2.459874, 384.710980
1481.628213, 832.701640, 2.459874, 382.471804
1474.888259, 825.961687, 2.459874, 380.244082
1468.182958, 819.256386, 2.459874, 378.027813
1461.512310, 812.585738, 2.459874, 375.822998
1454.876314, 805.949742, 2.459874, 373.629636
1448.274972, 799.348399, 2.459874, 371.447728
1441.708282, 792.781709, 2.459874, 369.277273
1435.176244, 786.249672, 2.459874, 367.118273
1428.678860, 779.752288, 2.459874, 364.970725
1422.216128, 773.289556, 2.459874, 362.834632
1415.788049, 766.861477, 2.459874, 360.709991
1409.394622, 760.468050, 2.459874, 358.596805
1403.035849, 754.109276, 2.459874, 356.495072
1396.711728, 747.785155, 2.459874, 354.404793
1390.422259, 741.495687, 2.459874, 352.325967
1384.167444, 735.240872, 2.459874, 350.258595
1377.947281, 729.020709, 2.459874, 348.202676
1371.761771, 722.835199, 2.459874, 346.158211
1365.610914, 716.684341, 2.459874, 344.125200
1359.494709, 710.568137, 2.459874, 342.103642
1353.413157, 704.486585, 2.459874, 340.093537
