#Energy, Pressure
998.5029239766086, 216.10714285714278
971.4561403508774, 206.68253968253964
943.6783625731, 197.75396825396814
915.1695906432744, 188.82539682539675
886.6608187134505, 179.40079365079362
858.8830409356729, 170.47222222222211
830.3742690058482, 161.04761904761898
802.5964912280704, 152.1190476190476
774.8187134502928, 143.1904761904761
747.0409356725149, 134.2619047619047
718.5321637426903, 124.83730158730145
690.7543859649124, 115.41269841269832
662.245614035088, 106.98015873015868
634.4678362573102, 97.55555555555554
605.9590643274855, 88.6269841269841
578.1812865497077, 79.69841269841265
549.6725146198833, 70.76984126984121
521.8947368421054, 61.841269841269764
493.3859649122809, 52.91269841269832
465.60818713450317, 43.488095238095184
437.0994152046785, 34.55952380952374
409.3216374269007, 26.126984126984098
380.81286549707613, 17.19841269841254
352.3040935672517, 7.773809523809405
