#  energia,    pressao,       nB,         muB,   muBGibbs
908.127003, 231.800430, 0.819958, 1390.226438, 318.415484
907.727374, 231.400802, 0.819958, 1389.251684, 319.083523
907.328863, 231.002291, 0.819958, 1388.279657, 319.755942
906.931470, 230.604898, 0.819958, 1387.310356, 320.432780
906.535195, 230.208622, 0.819958, 1386.343782, 321.114073
906.140037, 229.813465, 0.819958, 1385.379934, 321.799859
905.745998, 229.419426, 0.819958, 1384.418813, 322.490177
905.353076, 229.026504, 0.819958, 1383.460419, 323.185066
904.961272, 228.634700, 0.819958, 1382.504751, 323.884564
904.570586, 228.244014, 0.819958, 1381.551810, 324.588711
904.181018, 227.854446, 0.819958, 1380.601595, 325.297547
903.792568, 227.465996, 0.819958, 1379.654107, 326.011113
903.405236, 227.078663, 0.819958, 1378.709345, 326.729451
903.019021, 226.692449, 0.819958, 1377.767310, 327.452600
902.633924, 226.307352, 0.819958, 1376.828002, 328.180604
902.249945, 225.923373, 0.819958, 1375.891420, 328.913504
901.867084, 225.540512, 0.819958, 1374.957565, 329.651344
901.485341, 225.158769, 0.819958, 1374.026436, 330.394167
901.104716, 224.778143, 0.819958, 1373.098034, 331.142017
900.725208, 224.398636, 0.819958, 1372.172359, 331.894939
900.346818, 224.020246, 0.819958, 1371.249410, 332.652978
899.969547, 223.642974, 0.819958, 1370.329188, 333.416178
899.593392, 223.266820, 0.819958, 1369.411692, 334.184587
899.218356, 222.891784, 0.819958, 1368.496923, 334.958251
898.844438, 222.517866, 0.819958, 1367.584880, 335.737217
898.471637, 222.145065, 0.819958, 1366.675564, 336.521532
898.099955, 221.773383, 0.819958, 1365.768975, 337.311246
897.729390, 221.402818, 0.819958, 1364.865112, 338.106407
897.359943, 221.033371, 0.819958, 1363.963976, 338.907065
896.991614, 220.665042, 0.819958, 1363.065566, 339.713269
896.624403, 220.297830, 0.819958, 1362.169883, 340.525071
896.258309, 219.931737, 0.819958, 1361.276927, 341.342522
895.893334, 219.566761, 0.819958, 1360.386697, 342.165673
895.529476, 219.202904, 0.819958, 1359.499194, 342.994578
895.166736, 218.840164, 0.819958, 1358.614417, 343.829290
894.805114, 218.478542, 0.819958, 1357.732367, 344.669862
894.444610, 218.118037, 0.819958, 1356.853043, 345.516350
894.085223, 217.758651, 0.819958, 1355.976446, 346.368808
893.726955, 217.400383, 0.819958, 1355.102576, 347.227293
893.369804, 217.043232, 0.819958, 1354.231432, 348.091861
893.013771, 216.687199, 0.819958, 1353.363015, 348.962569
892.658856, 216.332284, 0.819958, 1352.497324, 349.839476
892.305059, 215.978487, 0.819958, 1351.634360, 350.722641
891.952380, 215.625807, 0.819958, 1350.774123, 351.612123
891.600818, 215.274246, 0.819958, 1349.916612, 352.507982
891.250375, 214.923802, 0.819958, 1349.061828, 353.410280
890.901049, 214.574477, 0.819958, 1348.209770, 354.319079
890.552841, 214.226269, 0.819958, 1347.360439, 355.234440
890.205751, 213.879178, 0.819958, 1346.513835, 356.156429
889.859778, 213.533206, 0.819958, 1345.669957, 357.085108
889.514924, 213.188352, 0.819958, 1344.828805, 358.020544
889.171187, 212.844615, 0.819958, 1343.990381, 358.962802
888.828569, 212.501996, 0.819958, 1343.154682, 359.911949
888.487068, 212.160496, 0.819958, 1342.321711, 360.868054
888.146685, 211.820112, 0.819958, 1341.491466, 361.831183
887.807420, 211.480847, 0.819958, 1340.663947, 362.801408
887.469272, 211.142700, 0.819958, 1339.839156, 363.778799
887.132243, 210.805670, 0.819958, 1339.017090, 364.763426
886.796331, 210.469759, 0.819958, 1338.197752, 365.755363
886.461537, 210.134965, 0.819958, 1337.381140, 366.754683
886.127861, 209.801289, 0.819958, 1336.567254, 367.761460
885.795303, 209.468731, 0.819958, 1335.756095, 368.775769
885.463863, 209.137290, 0.819958, 1334.947663, 369.797687
885.133540, 208.806968, 0.819958, 1334.141957, 370.827291
884.804336, 208.477763, 0.819958, 1333.338978, 371.864659
884.476249, 208.149676, 0.819958, 1332.538725, 372.909872
884.149280, 207.822708, 0.819958, 1331.741199, 373.963009
883.823429, 207.496856, 0.819958, 1330.946400, 375.024153
883.498695, 207.172123, 0.819958, 1330.154327, 376.093386
883.175080, 206.848508, 0.819958, 1329.364981, 377.170792
882.852582, 206.526010, 0.819958, 1328.578361, 378.256456
882.531203, 206.204630, 0.819958, 1327.794468, 379.350464
882.210941, 205.884369, 0.819958, 1327.013302, 380.452905
881.891797, 205.565224, 0.819958, 1326.234862, 381.563867
881.573771, 205.247198, 0.819958, 1325.459149, 382.683440
881.256862, 204.930290, 0.819958, 1324.686162, 383.811715
880.941072, 204.614499, 0.819958, 1323.915902, 384.948784
880.626399, 204.299827, 0.819958, 1323.148368, 386.094742
880.312844, 203.986272, 0.819958, 1322.383561, 387.249684
880.000407, 203.673835, 0.819958, 1321.621481, 388.413707
879.689088, 203.362516, 0.819958, 1320.862127, 389.586908
879.378887, 203.052314, 0.819958, 1320.105500, 390.769387
879.069803, 202.743231, 0.819958, 1319.351599, 391.961244
878.761838, 202.435265, 0.819958, 1318.600425, 393.162583
878.454990, 202.128418, 0.819958, 1317.851978, 394.373506
878.149260, 201.822688, 0.819958, 1317.106257, 395.594120
