#Energy, Pressure
997.9770163194626, 216.39111237715423
970.749226006192, 207.20225039168207
942.3628063178885, 197.97126986387775
914.5557013171012, 188.92982277656824
886.7485963163142, 179.77605957637292
858.3621766280107, 170.49594074918105
829.9757569397073, 161.52469123242514
802.16865193892, 152.3709280322298
773.7822322506165, 143.37159948725252
745.9751272498295, 134.33015239994302
717.588707561526, 125.07811260097264
689.7816025607389, 115.98050745722026
661.3951828724354, 107.10753453923945
633.0087631841318, 97.89761328260124
605.2016581833448, 88.9684823081775
576.8152384950412, 79.78664007976079
549.0081334942541, 71.08916108816413
520.6217138059505, 61.900299102691974
492.8146088051635, 52.97116812826823
464.4281891168599, 43.86654322746051
436.04176942855645, 34.944432010092214
408.2346644277693, 26.352249374326107
380.42755942698227, 17.3108022870166
367.6826363016215, 0.6543227460476828
358.4136013013591, 0.5757014670275566
354.35839848874434, 9.027488961686458
346.66178906888376, 2.277290577247868
332.9237550506376, 0.5399645220184084
