# energia, pressao, rho, muB
1754.2229767919, 643.8938173706, 3.1, 773.5860626332
1746.4928342513, 640.353703139, 3.09, 772.4422451101
1738.7741369168, 636.8206845402, 3.08, 771.2970199543
1731.0668989097, 633.2947664474, 3.07, 770.1503795947
1723.3711344092, 629.7759537544, 3.06, 769.0023163941
1715.6868576928, 626.2642513888, 3.05, 767.8528226499
1708.0140830999, 622.7596643, 3.04, 766.7018905918
1700.352825051, 619.262197466, 3.03, 765.5495123819
1692.7030980502, 615.7718558937, 3.02, 764.3956801139
1685.0649166767, 612.2886446164, 3.01, 763.2403858118
1677.438295591, 608.8125686956, 3, 762.0836214292
1669.823249535, 605.3436332216, 2.99, 760.9253788487
1662.2197933323, 601.8818433128, 2.98, 759.7656498809
1654.6279418864, 598.4272041161, 2.97, 758.6044262633
1647.0477101861, 594.9797208077, 2.96, 757.4416996597
1639.4791133037, 591.5393985932, 2.95, 756.2774616593
1631.9221663917, 588.1062427064, 2.94, 755.1117037753
1624.3768846989, 584.6802584145, 2.93, 753.9444174447
1616.8432835476, 581.2614510104, 2.92, 752.7755940266
1609.3213783512, 577.8498258192, 2.91, 751.6052248019
1601.811184622, 574.4453882001, 2.9, 750.4333009721
1594.312717937, 571.0481435355, 2.89, 749.2598136574
1586.8259939806, 567.6580972449, 2.88, 748.0847538975
1579.3510285251, 564.2752547788, 2.87, 746.908112649
1571.887837429, 560.8996216176, 2.86, 745.7298807849
1564.4364366439, 557.5312032747, 2.85, 744.5500490937
1556.9968422137, 554.1700052955, 2.84, 743.3686082781
1549.5690702809, 550.8160332598, 2.83, 742.1855489541
1542.1531370742, 547.4692927779, 2.82, 741.0008616493
1534.7490589214, 544.1297894946, 2.81, 739.8145368025
1527.3568522442, 540.7975290876, 2.8, 738.6265647622
1519.9765335691, 537.4725172713, 2.79, 737.4369357856
1512.6081195119, 534.1547597913, 2.78, 736.2456400369
1505.2516267855, 530.8442624274, 2.77, 735.0526675866
1497.9070722163, 527.5410309989, 2.76, 733.8580084104
1490.5744727101, 524.2450713531, 2.75, 732.6616523869
1483.2538452964, 520.9563893805, 2.74, 731.463589298
1475.9452070915, 517.6749910022, 2.73, 730.263808826
1468.6485753286, 514.4008821798, 2.72, 729.0623005533
1461.3639673253, 511.1340689053, 2.71, 727.8590539601
1454.0914005319, 507.8745572161, 2.7, 726.6540584246
1446.8308924803, 504.6223531793, 2.69, 725.4473032198
1439.582460831, 501.3774629063, 2.68, 724.2387775134
1432.3461233351, 498.1398925405, 2.67, 723.0284703656
1425.1218978668, 494.9096482687, 2.66, 721.816370728
1417.9098024042, 491.6867363137, 2.65, 720.6024674421
1410.7098550454, 488.4711629406, 2.64, 719.3867492377
1403.5220739929, 485.2629344511, 2.63, 718.1692047313
1396.3464775639, 482.0620571872, 2.62, 716.9498224244
1389.1830841999, 478.8685375343, 2.61, 715.7285907026
1382.0319124483, 475.6823819152, 2.6, 714.5054978327
1374.8929809847, 472.5035967974, 2.59, 713.2805319626
1367.7663085979, 469.3321886882, 2.58, 712.0536811184
1360.6519141943, 466.1681641365, 2.57, 710.824933203
1353.5498168085, 463.0115297356, 2.56, 709.5942759948
1346.4600355998, 459.8622921229, 2.55, 708.3616971454
1339.3825898368, 456.7204579743, 2.54, 707.1271841776
1332.3174989318, 453.5860340159, 2.53, 705.8907244846
1325.2647824104, 450.4590270136, 2.52, 704.6523053269
1318.2244599362, 447.3394437818, 2.51, 703.4119138312
1311.1965512933, 444.2272911773, 2.5, 702.169536988
1304.1810764027, 441.1225761049, 2.49, 700.9251616498
1297.1780553162, 438.0253055153, 2.48, 699.6787745292
1290.1875082194, 434.9354864061, 2.47, 698.4303621966
1283.2094554314, 431.8531258221, 2.46, 697.1799110782
1276.2439174049, 428.778230855, 2.45, 695.9274074537
1269.2909147409, 425.7108086482, 2.44, 694.6728374548
1262.3504681688, 422.6508663907, 2.43, 693.4161870617
1255.422598564, 419.5984113225, 2.42, 692.1574421023
1248.5073269453, 416.5534507342, 2.41, 690.8965882487
1241.6046744725, 413.5159919658, 2.4, 689.6336110156
1234.7146624521, 410.4860424092, 2.39, 688.3684957574
1227.8373123376, 407.4636095077, 2.38, 687.1012276663
1220.972645735, 404.4487007581, 2.37, 685.8317917693
1214.1206843967, 401.441323709, 2.36, 684.5601729259
1207.2814502272, 398.4414859624, 2.35, 683.2863558253
1200.4549652889, 395.4491951759, 2.34, 682.0103249844
1193.6412517931, 392.4644590594, 2.33, 680.732064744
1186.8403321197, 389.4872853819, 2.32, 679.4515592673
1180.0522287933, 386.517681964, 2.31, 678.1687925359
1173.276964513, 383.555656687, 2.3, 676.8837483481
1166.5145621361, 380.6012174881, 2.29, 675.5964103151
1159.7650446762, 377.65437236, 2.28, 674.3067618579
1153.0284353295, 374.7151293589, 2.27, 673.0147862055
1146.3047574471, 371.7834965962, 2.26, 671.7204663905
1139.5940345593, 368.859482246, 2.25, 670.4237852466
1132.8962903659, 365.9430945423, 2.24, 669.1247254051
1126.211548741, 363.0343417805, 2.23, 667.8232692917
1119.5398337349, 360.133232318, 2.22, 666.5193991231
1112.8811695802, 357.2397745765, 2.21, 665.2130969038
1106.2355806894, 354.353977041, 2.2, 663.9043444223
1099.6030916522, 351.4758482592, 2.19, 662.5931232473
1092.9837272529, 348.6053968471, 2.18, 661.2794147249
1086.3775124579, 345.742631485, 2.17, 659.963199974
1079.7844724259, 342.8875609209, 2.16, 658.6444598828
1073.2046325057, 340.0401939703, 2.15, 657.3231751049
1066.6380182404, 337.2005395167, 2.14, 655.9993260555
1060.0846553766, 334.3686065155, 2.13, 654.6728929071
1053.5445698512, 331.5444039894, 2.12, 653.3438555852
1047.017787808, 328.727941034, 2.11, 652.0121937644
1040.5043355964, 325.9192268175, 2.1, 650.677886864
1034.0042397708, 323.1182705803, 2.09, 649.3409140435
1027.5175270952, 320.325081637, 2.08, 648.0012541978
1021.0442245451, 317.5396693768, 2.07, 646.6588859528
1014.5843593153, 314.7620432661, 2.06, 645.313787661
1008.1379588146, 311.9922128472, 2.05, 643.965937396
1001.7050506752, 309.230187741, 2.04, 642.6153129481
995.2856627458, 306.4759776454, 2.03, 641.2618918185
988.8798231154, 303.7295923424, 2.02, 639.9056512155
982.4875600858, 300.9910416898, 2.01, 638.5465680471
976.1089022031, 298.2603356317, 2, 637.1846189177
969.7438782486, 295.5374841948, 1.99, 635.8197801215
963.3925172324, 292.8224974875, 1.98, 634.4520276361
957.0548484187, 290.1153857071, 1.97, 633.0813371187
950.7309013062, 287.4161591347, 1.96, 631.707683898
944.4207056492, 284.7248281412, 1.95, 630.3310429694
938.1242914545, 282.041403187, 1.94, 628.9513889887
931.8416889743, 279.3658948194, 1.93, 627.5686962647
925.572928726, 276.6983136795, 1.92, 626.1829387536
919.3180414985, 274.0386705042, 1.91, 624.794090053
913.0770583282, 271.3869761183, 1.9, 623.4021233926
906.8500105345, 268.7432414468, 1.89, 622.0070116298
900.6369297028, 266.1074775086, 1.88, 620.6087272405
894.4378477027, 263.4796954235, 1.87, 619.2072423134
888.2527966769, 260.8599064078, 1.86, 617.8025285409
882.081809062, 258.248121782, 1.85, 616.3945572126
875.9249175734, 255.6443529655, 1.84, 614.9832992061
869.7821552306, 253.0486114852, 1.83, 613.5687249803
863.6535553385, 250.4609089694, 1.82, 612.1508045653
857.5391515204, 247.8812571587, 1.81, 610.7295075562
851.4389776841, 245.3096678956, 1.8, 609.304803101
845.3530680734, 242.7461531404, 1.79, 607.8766598955
839.2814572241, 240.1907249582, 1.78, 606.4450461704
833.2241800076, 237.6433955322, 1.77, 605.0099296842
827.1812716143, 235.1041771592, 1.76, 603.5712777126
821.1527675622, 232.5730822523, 1.75, 602.1290570382
815.1387037118, 230.0501233457, 1.74, 600.6832339413
809.139116254, 227.5353130913, 1.73, 599.2337741878
803.1540417294, 225.028664265, 1.72, 597.7806430197
797.1835170289, 222.530189767, 1.71, 596.3238051433
791.2275793966, 220.039902623, 1.7, 594.863224718
785.2862664442, 217.5578159892, 1.69, 593.398865345
779.3596161425, 215.0839431494, 1.68, 591.9306900541
773.4476668378, 212.6182975209, 1.67, 590.4586612921
767.5504572569, 210.160892656, 1.66, 588.9827409104
761.6680265084, 207.7117422428, 1.65, 587.5028901509
755.8004140896, 205.2708601079, 1.64, 586.0190696332
749.9476599049, 202.8382602219, 1.63, 584.5312393415
744.1098042509, 200.4139566956, 1.62, 583.0393586083
738.2868878362, 197.9979637861, 1.61, 581.5433861013
732.4789517915, 195.5902959005, 1.6, 580.0432798087
726.6860376695, 193.1909675963, 1.59, 578.5389970224
720.9081874474, 190.799993582, 1.58, 577.0304943225
715.1454435473, 188.4173887243, 1.57, 575.5177275613
709.3978488324, 186.0431680473, 1.56, 574.0006518459
703.6654466206, 183.6773467368, 1.55, 572.4792215213
697.9482806918, 181.319940143, 1.54, 570.9533901521
692.2463952889, 178.9709637815, 1.53, 569.4231105035
686.5598351363, 176.630433339, 1.52, 567.8883345233
680.8886454426, 174.298364675, 1.51, 566.3490133221
675.2328719043, 171.974773823, 1.5, 564.8050971516
669.5925607282, 169.6596769982, 1.49, 563.2565353864
663.9677586245, 167.3530905956, 1.48, 561.7032764998
658.3585128272, 165.0550311968, 1.47, 560.1452680434
652.7648710979, 162.7655155718, 1.46, 558.5824566235
647.1868817401, 160.4845606838, 1.45, 557.014787878
641.6245935984, 158.2121836894, 1.44, 555.4422064506
636.0780560856, 155.9484019478, 1.43, 553.864655968
630.5473191775, 153.6932330194, 1.42, 552.2820790119
625.0324334299, 151.4466946717, 1.41, 550.6944170931
619.5334499891, 149.2088048831, 1.4, 549.1016106234
614.0504206056, 146.9795818479, 1.39, 547.5035988877
608.5833976415, 144.759043979, 1.38, 545.9003200138
603.1324340775, 142.5472099107, 1.37, 544.2917109409
597.6975835424, 140.3440985086, 1.36, 542.6777073909
592.2789003061, 138.1497288678, 1.35, 541.0582438326
586.8764393002, 135.9641203202, 1.34, 539.433253449
581.4902561374, 133.7872924412, 1.33, 537.8026681036
576.1204071091, 131.6192650494, 1.32, 536.1664183015
570.766949216, 129.460058217, 1.31, 534.5244331547
565.4299401721, 127.3096922718, 1.3, 532.8766403413
560.1094384219, 125.1681878034, 1.29, 531.2229660665
554.805503157, 123.0355656685, 1.28, 529.5633350203
549.5181943278, 120.9118469964, 1.27, 527.8976703345
544.2475726631, 118.7970531948, 1.26, 526.2258935381
538.9936996817, 116.6912059552, 1.25, 524.5479245104
533.7566377173, 114.5943272607, 1.24, 522.8636814341
528.5364499267, 112.5064393902, 1.23, 521.173080744
523.3332003072, 110.4275649239, 1.22, 519.4760370751
518.1469537295, 108.3577267555, 1.21, 517.7724632112
512.9777759391, 106.2969480927, 1.2, 516.0622700261
507.8257335812, 104.2452524664, 1.19, 514.345366427
502.6908942272, 102.20266374, 1.18, 512.6216592946
497.5733263878, 100.1692061143, 1.17, 510.8910534197
492.4730995327, 98.1449041352, 1.16, 509.1534514378
487.3902841243, 96.1297827047, 1.15, 507.4087537631
482.3249516231, 94.1238670845, 1.14, 505.6568585154
477.2771745285, 92.1271829093, 1.13, 503.8976614495
472.2470263902, 90.1397561919, 1.12, 502.131055877
467.2345818386, 88.1616133341, 1.11, 500.3569325873
462.2399166063, 86.1927811344, 1.1, 498.5751797645
457.2631075618, 84.2332868002, 1.09, 496.785682902
452.3042327336, 82.2831579567, 1.08, 494.9883247119
447.3633713284, 80.342422654, 1.07, 493.1829850296
442.440603779, 78.4111093836, 1.06, 491.3695407186
437.5360117601, 76.4892470848, 1.05, 489.5478655663
432.6496782261, 74.5768651585, 1.04, 487.717830178
427.7816874418, 72.6739934781, 1.03, 485.8793018649
422.9321250157, 70.780662402, 1.02, 484.0321445279
418.1010779343, 68.896902786, 1.01, 482.176218535
413.2886345986, 67.0227459964, 1, 480.3113805944
408.4948848608, 65.1582239238, 0.99, 478.4374836209
403.7199200675, 63.3033689986, 0.98, 476.5543765966
398.963833089, 61.4582142021, 0.97, 474.661904423
394.2267183738, 59.6227930856, 0.96, 472.75990777
389.508671983, 57.797139784, 0.95, 470.8482229133
384.8097916397, 55.9812890332, 0.94, 468.9266815667
380.1301767695, 54.1752761854, 0.93, 466.9951107043
375.4699285565, 52.3791372291, 0.92, 465.0533323756
370.8291499879, 50.5929088058, 0.91, 463.1011635097
366.2079459094, 48.8166282301, 0.9, 461.1384157106
361.6064230767, 47.0503335089, 0.89, 459.1648950407
357.024690217, 45.2940633635, 0.88, 457.1804017951
352.4628580783, 43.5478572481, 0.87, 455.1847302603
347.9210395036, 41.8117553766, 0.86, 453.1776684655
343.399349485, 40.0857987428, 0.85, 451.1589979146
338.8979052326, 38.3700291458, 0.84, 449.1284933073
334.4168262461, 36.6644892157, 0.83, 447.0859222438
329.9562343883, 34.969222441, 0.82, 445.0310449136
325.5162539532, 33.2842731941, 0.81, 442.9636137631
321.0970117576, 31.6096867636, 0.8, 440.8833731515
316.6986372107, 29.9455093817, 0.79, 438.7900589774
312.32126241, 28.2917882578, 0.78, 436.6833982916
307.9650222282, 26.6485716116, 0.77, 434.5631088822
303.6300544077, 25.0159087073, 0.76, 432.4288988355
299.3164996621, 23.3938498911, 0.75, 430.2804660714
295.0245017781, 21.782446629, 0.74, 428.1174978481
290.7542077266, 20.181751547, 0.73, 425.9396702374
286.5057677734, 18.5918184729, 0.72, 423.7466475645
282.2793356058, 17.012702482, 0.71, 421.5380818145
278.0750684551, 15.4444599431, 0.7, 419.3136119977
273.8931272296, 13.8871485666, 0.69, 417.072863473
269.7336766566, 12.3408274579, 0.68, 414.8154472268
265.5968854279, 10.8055571702, 0.67, 412.5409591017
261.4829263575, 9.2813997634, 0.66, 410.2489789718
257.3919765455, 7.7684188638, 0.65, 407.9390698608
253.3242175483, 6.266679728, 0.64, 405.6107769946
249.2798355654, 4.776249311, 0.63, 403.263626788
245.2590216305, 3.2971963371, 0.62, 400.8971257541
241.2619718175, 1.829591376, 0.61, 398.510759334
237.2888874583, 0.3735069232, 0.6, 396.1039906356
233.3399753693, -1.0709825157, 0.59, 393.6762590743
