# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
140800000000, 2.109e29, 8.433e34, 0.0015031661
110000000000, 1.561e29, 6.592e34, 0.0015021867
84440000000, 1.127e29, 5.063e34, 0.0015012326
63470000000, 7.913e28, 3.807e34, 0.0015005514
46520000000, 5.367e28, 2.791e34, 0.001500031
41740000000, 4.628e28, 2.507e34, 0.0014982931
33150000000, 3.404e28, 1.991e34, 0.0014982056
25330000000, 2.503e28, 1.522e34, 0.0014974799
20910000000, 1.938e28, 1.257e34, 0.0014966823
16610000000, 1.425e28, 9.982e33, 0.0014970271
13190000000, 1.048e28, 7.93e33, 0.0014962998
10110000000, 7.702e27, 6.081e33, 0.0014955721
8031000000, 5.662e27, 4.83e33, 0.0014956373
6606000000, 4.362e27, 3.974e33, 0.001495178
4166000000, 2.356e27, 2.507e33, 0.0014945187
2545000000, 1.272e27, 1.532e33, 0.0014939419
1606000000, 6.86e26, 9.667e32, 0.0014939065
1046000000, 4.129e26, 6.296e32, 0.0014938979
830300000, 3.029e26, 5.001e32, 0.0014928552
523900000, 1.629e26, 3.156e32, 0.0014925362
330500000, 8.738e25, 1.991e32, 0.0014924205
262500000, 6.676e25, 1.581e32, 0.0014927379
131500000, 2.604e25, 7.926e31, 0.0014915253
65920000, 1.006e25, 3.973e31, 0.0014915425
33020000, 3.833e24, 1.99e31, 0.001491569
16550000, 1.435e24, 1e31, 0.0014876582
8293000, 5.259e23, 5e30, 0.0014908555
6588000, 3.911e23, 4e30, 0.001480422
2622000, 9.755e22, 1.581e30, 0.0014906719
1044000, 2.318e22, 6.294e29, 0.0014908974
415600, 5.266e21, 2.506e29, 0.0014906094
165400, 1.151e21, 9.976e28, 0.0014902039
65870, 2.431e20, 3.972e28, 0.0014905394
26220, 4.968e19, 1.581e28, 0.0014906133
10440, 9.744e18, 6.295e27, 0.0014906252
1150, 1.9e17, 6.93e26, 0.0014915161
212, 5.82e15, 1.27e26, 0.0015003598
45.1, 170000000000000, 2.72e25, 0.0014902904
