################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_100_XI_0.0015.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=645.01543742, sup_limit=2373.6653975955555)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=2373.6653975955555)
#
# Transition pressure (hadrons) = [ 40.72349004 MeV/fm3] = [6.5246251e34 erg/cm3]
# Transition pressure (quarks) = [ 40.72349004] = [6.5246251e34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
3.447574e+16, 3.472713e+36, 3.551940e-03
3.439878e+16, 3.463909e+36, 3.549615e-03
3.432190e+16, 3.455114e+36, 3.547290e-03
3.424517e+16, 3.446337e+36, 3.544965e-03
3.416854e+16, 3.437574e+36, 3.542640e-03
3.409199e+16, 3.428821e+36, 3.540315e-03
3.401562e+16, 3.420091e+36, 3.537990e-03
3.393932e+16, 3.411370e+36, 3.535665e-03
3.386312e+16, 3.402663e+36, 3.533340e-03
3.378708e+16, 3.393975e+36, 3.531015e-03
3.371111e+16, 3.385297e+36, 3.528690e-03
3.363527e+16, 3.376636e+36, 3.526365e-03
3.355955e+16, 3.367990e+36, 3.524041e-03
3.348390e+16, 3.359353e+36, 3.521716e-03
3.340843e+16, 3.350739e+36, 3.519391e-03
3.333304e+16, 3.342134e+36, 3.517066e-03
3.325775e+16, 3.333543e+36, 3.514741e-03
3.318261e+16, 3.324971e+36, 3.512416e-03
3.310753e+16, 3.316407e+36, 3.510091e-03
3.303260e+16, 3.307863e+36, 3.507766e-03
3.295778e+16, 3.299331e+36, 3.505441e-03
3.288304e+16, 3.290810e+36, 3.503116e-03
3.280846e+16, 3.282311e+36, 3.500791e-03
3.273396e+16, 3.273821e+36, 3.498466e-03
3.265958e+16, 3.265346e+36, 3.496141e-03
3.258532e+16, 3.256888e+36, 3.493816e-03
3.251114e+16, 3.248438e+36, 3.491491e-03
3.243712e+16, 3.240010e+36, 3.489166e-03
3.236319e+16, 3.231593e+36, 3.486842e-03
3.228935e+16, 3.223188e+36, 3.484517e-03
3.221567e+16, 3.214802e+36, 3.482192e-03
3.214205e+16, 3.206425e+36, 3.479867e-03
3.206858e+16, 3.198067e+36, 3.477542e-03
3.199521e+16, 3.189721e+36, 3.475217e-03
3.192192e+16, 3.181386e+36, 3.472892e-03
3.184880e+16, 3.173072e+36, 3.470567e-03
3.177574e+16, 3.164767e+36, 3.468242e-03
3.170282e+16, 3.156479e+36, 3.465917e-03
3.163001e+16, 3.148205e+36, 3.463592e-03
3.155727e+16, 3.139940e+36, 3.461267e-03
3.148471e+16, 3.131698e+36, 3.458942e-03
3.141222e+16, 3.123464e+36, 3.456617e-03
3.133984e+16, 3.115245e+36, 3.454292e-03
3.126759e+16, 3.107043e+36, 3.451968e-03
3.119541e+16, 3.098848e+36, 3.449643e-03
3.112340e+16, 3.090676e+36, 3.447318e-03
3.105146e+16, 3.082513e+36, 3.444993e-03
3.097963e+16, 3.074364e+36, 3.442668e-03
3.090794e+16, 3.066233e+36, 3.440343e-03
3.083631e+16, 3.058109e+36, 3.438018e-03
3.076485e+16, 3.050006e+36, 3.435693e-03
3.069346e+16, 3.041914e+36, 3.433368e-03
3.062218e+16, 3.033835e+36, 3.431043e-03
3.055105e+16, 3.025774e+36, 3.428718e-03
3.047997e+16, 3.017720e+36, 3.426393e-03
3.040905e+16, 3.009687e+36, 3.424068e-03
3.033822e+16, 3.001665e+36, 3.421743e-03
3.026749e+16, 2.993655e+36, 3.419418e-03
3.019690e+16, 2.985664e+36, 3.417093e-03
3.012637e+16, 2.977680e+36, 3.414769e-03
3.005601e+16, 2.969717e+36, 3.412444e-03
2.998572e+16, 2.961764e+36, 3.410119e-03
2.991555e+16, 2.953824e+36, 3.407794e-03
2.984550e+16, 2.945902e+36, 3.405469e-03
2.977552e+16, 2.937987e+36, 3.403144e-03
2.970571e+16, 2.930094e+36, 3.400819e-03
2.963597e+16, 2.922210e+36, 3.398494e-03
2.956634e+16, 2.914340e+36, 3.396169e-03
2.949684e+16, 2.906486e+36, 3.393844e-03
2.942740e+16, 2.898640e+36, 3.391519e-03
2.935814e+16, 2.890817e+36, 3.389194e-03
2.928894e+16, 2.883001e+36, 3.386869e-03
