################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_80_XI_0.0030.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=662.4959302219999, sup_limit=3160.2875738644443)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3160.2875738644443)
#
# Transition pressure (hadrons) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
# Transition pressure (quarks) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
4.284874e+16, 5.756546e+36, 4.675998e-03
4.275914e+16, 5.742613e+36, 4.672412e-03
4.266966e+16, 5.728703e+36, 4.668825e-03
4.258025e+16, 5.714805e+36, 4.665239e-03
4.249100e+16, 5.700939e+36, 4.661652e-03
4.240179e+16, 5.687079e+36, 4.658066e-03
4.231275e+16, 5.673253e+36, 4.654479e-03
4.222377e+16, 5.659436e+36, 4.650893e-03
4.213492e+16, 5.645646e+36, 4.647306e-03
4.204616e+16, 5.631872e+36, 4.643720e-03
4.195750e+16, 5.618118e+36, 4.640133e-03
4.186896e+16, 5.604387e+36, 4.636547e-03
4.178049e+16, 5.590669e+36, 4.632960e-03
4.169218e+16, 5.576981e+36, 4.629374e-03
4.160390e+16, 5.563299e+36, 4.625787e-03
4.151581e+16, 5.549653e+36, 4.622201e-03
4.142776e+16, 5.536014e+36, 4.618614e-03
4.133986e+16, 5.522403e+36, 4.615028e-03
4.125203e+16, 5.508807e+36, 4.611441e-03
4.116431e+16, 5.495232e+36, 4.607855e-03
4.107671e+16, 5.481679e+36, 4.604268e-03
4.098918e+16, 5.468139e+36, 4.600682e-03
4.090181e+16, 5.454628e+36, 4.597095e-03
4.081447e+16, 5.441125e+36, 4.593509e-03
4.072732e+16, 5.427657e+36, 4.589922e-03
4.064020e+16, 5.414195e+36, 4.586336e-03
4.055324e+16, 5.400763e+36, 4.582749e-03
4.046634e+16, 5.387344e+36, 4.579163e-03
4.037957e+16, 5.373948e+36, 4.575576e-03
4.029290e+16, 5.360571e+36, 4.571990e-03
4.020632e+16, 5.347211e+36, 4.568403e-03
4.011987e+16, 5.333876e+36, 4.564817e-03
4.003348e+16, 5.320553e+36, 4.561230e-03
3.994725e+16, 5.307260e+36, 4.557644e-03
3.986106e+16, 5.293974e+36, 4.554057e-03
3.977505e+16, 5.280721e+36, 4.550471e-03
3.968908e+16, 5.267477e+36, 4.546884e-03
3.960326e+16, 5.254261e+36, 4.543298e-03
3.951752e+16, 5.241058e+36, 4.539711e-03
3.943189e+16, 5.227878e+36, 4.536125e-03
3.934636e+16, 5.214718e+36, 4.532538e-03
3.926092e+16, 5.201574e+36, 4.528952e-03
3.917562e+16, 5.188455e+36, 4.525365e-03
3.909037e+16, 5.175347e+36, 4.521779e-03
3.900529e+16, 5.162270e+36, 4.518192e-03
3.892024e+16, 5.149200e+36, 4.514606e-03
3.883537e+16, 5.136163e+36, 4.511019e-03
3.875055e+16, 5.123135e+36, 4.507433e-03
3.866587e+16, 5.110134e+36, 4.503846e-03
3.858127e+16, 5.097147e+36, 4.500260e-03
3.849678e+16, 5.084182e+36, 4.496673e-03
3.841240e+16, 5.071237e+36, 4.493087e-03
3.832810e+16, 5.058308e+36, 4.489500e-03
3.824394e+16, 5.045404e+36, 4.485914e-03
3.815983e+16, 5.032511e+36, 4.482327e-03
3.807590e+16, 5.019649e+36, 4.478741e-03
3.799199e+16, 5.006793e+36, 4.475154e-03
3.790826e+16, 4.993971e+36, 4.471568e-03
3.782458e+16, 4.981157e+36, 4.467981e-03
3.774104e+16, 4.968371e+36, 4.464395e-03
3.765758e+16, 4.955598e+36, 4.460808e-03
3.757423e+16, 4.942848e+36, 4.457222e-03
3.749099e+16, 4.930117e+36, 4.453635e-03
3.740784e+16, 4.917402e+36, 4.450049e-03
3.732481e+16, 4.904712e+36, 4.446462e-03
