rho, x, y, z, w, energia, pressao, energiamit, pressaomit, (pressao/pressaomit), fermie, fermip, hardgluons, nu, nd, ns, ne, nB, muB, muBGibbs
4.5, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 949.6749746014025, 273.3484023281014, 836.4934160137309, 160.16684374042993, 1.7066478675892252, 760.793416013731, 235.86684374042994, 113.18155858767145, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.7297926176659, 271.7829726510008
4.49, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 949.1725043734009, 272.84593210009984, 836.4934160137309, 160.16684374042993, 1.703510700019039, 760.793416013731, 235.86684374042994, 112.6790883596699, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.59361486627688, 272.1644624662585
4.48, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 948.6711519879532, 272.34457971465224, 836.4934160137309, 160.16684374042993, 1.7003805116870514, 760.793416013731, 235.86684374042994, 112.17773597422229, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.45774006872853, 272.548154397903
4.47, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 948.1709174450596, 271.8443451717585, 836.4934160137309, 160.16684374042993, 1.6972573025932614, 760.793416013731, 235.86684374042994, 111.67750143132861, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.32216822502082, 272.93406322523896
4.46, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 947.6718007447198, 271.34522847141886, 836.4934160137309, 160.16684374042993, 1.694141072737671, 760.793416013731, 235.86684374042994, 111.17838473098891, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.18689933515384, 273.3222038601208
4.45, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 947.1738018869341, 270.8472296136331, 836.4934160137309, 160.16684374042993, 1.691031822120278, 760.793416013731, 235.86684374042994, 110.68038587320316, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 165.05193339912753, 273.71259134844206
4.44, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 946.6769208717024, 270.3503485984013, 836.4934160137309, 160.16684374042993, 1.687929550741084, 760.793416013731, 235.86684374042994, 110.18350485797137, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 164.91727041694193, 274.1052408716449
4.43, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 946.1811576990244, 269.8545854257234, 836.4934160137309, 160.16684374042993, 1.6848342586000882, 760.793416013731, 235.86684374042994, 109.68774168529349, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 164.78291038859703, 274.50016774825013
4.42, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 945.6865123689006, 269.35994009559954, 836.4934160137309, 160.16684374042993, 1.6817459456972907, 760.793416013731, 235.86684374042994, 109.1930963551696, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 164.64885331409278, 274.89738743540727
4.41, 2.007700661482983, 2.077054135957307, 1.9331657117152636, 0.06952521078724577, 945.1929848813306, 268.8664126080296, 836.4934160137309, 160.16684374042993, 1.6786646120326918, 760.793416013731, 235.86684374042994, 108.69956886759967, 7.37971602510146, 8.171206993535373, 6.587945755868643, 0.00010215237118726846, 7.379622924835158, 164.51509919342922, 275.2969155304672
