#rho, x, y, z, w, energia, pressao, energiamit, pressaomit, (pressao/pressaomit), fermie, fermip, hardgluons, muB
0.36, 1.5259618998726447, 1.6149245050181558, 1.4250896277106642, 0.08910592605918671, 336.284547597679, 2.925425336684313, 335.5601856227179, 2.2010633617232145, 1.3290963756690743, 259.8601856227179, 77.90106336172323, 0.7243619749610972, 942.2499248176758
0.37, 1.5399606206296372, 1.6282103327064834, 1.4401278337818388, 0.08839147448189928, 345.74772027293125, 5.886252904872876, 344.9825570447509, 5.121089676692506, 1.1494141435684753, 269.2825570447509, 80.82108967669251, 0.7651632281803565, 950.3620896697408
0.38, 1.5537093972548721, 1.641269094859734, 1.4548757788353903, 0.08769994313408498, 355.2913157384071, 8.876151843027756, 354.48423341445357, 8.06906951907419, 1.1000217338623408, 278.7842334144536, 83.7690695190742, 0.8070823239535683, 958.335441003776
0.39, 1.5672190950401204, 1.6541103907055787, 1.469346955194893, 0.08703006389465046, 364.9139758098159, 11.894627184482786, 364.0638565475352, 11.044507922202051, 1.076972126623387, 288.3638565475352, 86.74450792220205, 0.8501192622807323, 966.1759051135863
0.4, 1.5804998427896921, 1.666743181162127, 1.4835538824222592, 0.08638066695697506, 374.6143995567876, 14.941205055627194, 373.7201255136257, 14.046931012465343, 1.063663304273956, 298.0201255136257, 89.74693101246535, 0.8942740431618487, 973.889011531037
0.41000000000000003, 1.5935610997496312, 1.6791758460777888, 1.4975082010295493, 0.08575067113893196, 384.39133950929437, 18.015431280386778, 383.45179284269744, 17.07588461378986, 1.0550218444225241, 307.75179284269745, 92.77588461378986, 0.9395466665969172, 981.4799287553199
0.42000000000000004, 1.6064117150051165, 1.6914162350842439, 1.511220755021086, 0.08513907533175036, 394.24359821508756, 21.116870111991503, 393.2576610825016, 20.13093297940557, 1.04897622646673, 317.5576610825016, 95.83093297940556, 0.9859371325859381, 988.9534960168548
0.43000000000000005, 1.6190599803124404, 1.7034717128901098, 1.524701664823997, 0.08454495092944923, 404.1700250893213, 24.245103071784612, 403.13657964819237, 23.211657630655708, 1.0445226901746143, 327.4365796481924, 98.9116576306557, 1.0334454411289113, 996.3142515374556
0.44000000000000006, 1.631513677252484, 1.7153491997392802, 1.5379603919299434, 0.08396743515717928, 414.1695135311274, 27.399727885813746, 413.0874419389015, 26.31765629358791, 1.041115803784149, 337.38744193890153, 102.0176562935879, 1.082071592225837, 1003.5664577657751
0.45000000000000007, 1.6437801194103352, 1.7270552076582613, 1.5510057963783974, 0.08340572507946474, 424.24099828021883, 30.580357509193888, 423.10918269434205, 29.448541923317187, 1.0384336714810498, 347.40918269434206, 105.1485419233172, 1.131815585876715, 1010.7141239764725
0.45999999999999996, 1.6558661902384044, 1.7385958730111324, 1.5638461880091243, 0.08285907235301002, 434.38345299385725, 33.78661923120231, 433.20077557177575, 32.603941809120755, 1.0362740624739646, 357.50077557177576, 108.30394180912076, 1.1826774220815444, 1017.7610265762166
0.47, 1.6677783770712742, 1.749976985801759, 1.5764893722875655, 0.08232677843429625, 444.59588800411535, 37.018153847050456, 443.36123090327504, 35.78349674621013, 1.0345035341178916, 367.66123090327505, 111.48349674621014, 1.2346571008403269, 1024.7107273429058
0.48, 1.6795228018170103, 1.7612040161219367, 1.5889426913844489, 0.08180819039470363, 454.8773482581, 40.27461489665066, 453.589593635947, 38.9868602744976, 1.0330304777837014, 377.889593635947, 114.6868602744976, 1.2877546221530618, 1031.5665899057308
0.49, 1.6911052486737628, 1.77228213807452, 1.6012130611006428, 0.08130269707416737, 465.2269114138245, 43.555667960620184, 463.8849414278047, 42.21369797460044, 1.031789917737773, 388.1849414278047, 117.91369797460044, 1.3419699860197487, 1038.3317946417237
0.5, 1.7025311892257244, 1.7832162514548084, 1.6133070041230797, 0.0808097256920974, 475.6436860750462, 46.86099000773592, 474.2463828826058, 45.46368681529553, 1.0307344892225125, 398.5463828826058, 121.16368681529553, 1.3973031924403883, 1045.0093521655642
0.51, 1.7138058052022977, 1.7940110014362893, 1.625230680049724, 0.08032873875588242, 486.1268101485798, 50.19026878781044, 484.6730559071648, 48.736514546395455, 1.0298288512205989, 408.9730559071648, 124.43651454639547, 1.45375424141498, 1051.6021155615495
0.52, 1.7249340091984453, 1.804670796509507, 1.636989912575706, 0.07985923126454597, 496.67544934078387, 53.54320227483929, 495.16412620784035, 52.03187914189576, 1.0290460993888384, 419.46412620784037, 127.73187914189576, 1.5113231329435242, 1058.112791568506
0.53, 1.735920463512554, 1.8151998248081291, 1.6485902141172284, 0.07940072822214447, 507.28879573067206, 56.91949814001211, 505.7187858636461, 55.34948827298609, 1.0283653908285957, 430.01878586364603, 131.0494882729861, 1.5700098670260205, 1064.5439506994041
0.54, 1.746769597359603, 1.8256020690478298, 1.6600368082098431, 0.07895278232603782, 517.9660664642529, 60.31887326819643, 516.3362520205903, 58.689058824533966, 1.0277703285127677, 440.6362520205904, 134.38905882453398, 1.629814443662469, 1070.8980365415725
0.55, 1.7574856225966078, 1.8358813201809185, 1.6713346498800794, 0.07851497192843089, 528.7065025233924, 63.741053302825065, 527.0157656605395, 62.05031643997218, 1.027247836269917, 451.31576566053945, 137.75031643997218, 1.69073686285287, 1077.1773742294863
0.56, 1.7680725481219401, 1.8460411899206224, 1.6824884442347867, 0.07808689913094523, 539.5093675821057, 67.18577222271543, 537.7565904575085, 65.43299509811821, 1.0267873589153131, 462.0565904575085, 141.13299509811822, 1.7527771245972232, 1083.384178222895
