 energia, pressao,+ACM-rho, muB
2295.5561429317,643.3144494754,1.84,1597.2122784821
2279.5984985892,637.9978677275,1.83,1594.3149542714
2263.6698776202,632.6919388778,1.82,1591.4075914824
2247.7703808396,627.3966981305,1.81,1588.4900988785
2231.9001100172,622.1121810273,1.8,1585.5623839137
2216.0591678672,616.8384234443,1.79,1582.6243526879
2200.2476579936,611.5754615747,1.78,1579.6759098698
2184.4656850201,606.3233319717,1.77,1576.7169587525
2168.7133545001,601.0820715198,1.76,1573.7474011476
2152.9907730212,595.8517174686,1.75,1570.7671374228
2137.2980481272,590.6323074089,1.74,1567.7760664001
2121.6352884046,585.4238793007,1.73,1564.7740853788
2106.0026034824,580.2264714738,1.72,1561.7610900908
2090.4001040225,575.0401226252,1.71,1558.7369746478
2074.8279017739,569.8648718374,1.7,1555.7016315361
2059.2861095446,564.7007585699,1.69,1552.6549515471
2043.7748412688,559.5478226812,1.68,1549.5968237798
2028.2942119747,554.4061044195,1.67,1546.5271355654
2012.8443378502,549.275644444,1.66,1543.4457724664
1997.425336216,544.1564838176,1.65,1540.3526182021
1982.037325572,539.0486640219,1.64,1537.2475546304
1966.6804256088,533.9522269618,1.63,1534.1304616998
1951.3547572442,528.8672149784,1.62,1531.0012174214
1936.0604425885,523.7936708379,1.61,1527.8596977804
1920.7976050361,518.7316377622,1.6,1524.705776749
1905.5663692388,513.6811594214,1.59,1521.5393262013
1890.3668611281,508.642279941,1.58,1518.3602158665
1875.1992079858,503.6150439262,1.57,1515.1683133197
1860.0635383915,498.5994964455,1.56,1511.9634838698
1844.9599822945,493.5956830547,1.55,1508.7455905479
1829.888671036,488.6036498051,1.54,1505.5144940526
1814.8497373545,483.623443246,1.53,1502.27005268
1799.8433154046,478.6551104318,1.52,1499.0121222608
1784.8695408305,473.6986989464,1.51,1495.7405561437
1769.9285507101,468.7542568866,1.5,1492.4552050645
1755.0204836632,463.8218328975,1.49,1489.1559171548
1740.1454798278,458.9014761661,1.48,1485.8425378337
1725.3036809005,453.9932364356,1.47,1482.5149097524
1710.4952301666,449.0971640158,1.46,1479.1728727276
1695.72027253,444.2133097939,1.45,1475.8162636717
1680.9789545388,439.3417252443,1.44,1472.444916516
1666.2714244193,434.4824624401,1.43,1469.0586621394
1651.5978321028,429.6355740637,1.42,1465.6573282862
1636.9583292528,424.801113416,1.41,1462.2407394814
1622.3530693121,419.9791344334,1.4,1458.8087169611
1607.7822075262,415.1696916965,1.39,1455.3610785775
1593.2459009873,410.3728404458,1.38,1451.8976387196
1578.7443086403,405.5886365845,1.37,1448.4182081933
1564.2775913585,400.8171367049,1.36,1444.9225941643
1549.8459119606,396.0583980953,1.35,1441.4106000414
1535.4494352375,391.3124787495,1.34,1437.8820253634
1521.0883280261,386.579437393,1.33,1434.3366657287
1506.7627592037,381.8593334824,1.32,1430.774312641
1492.4728997694,377.1522272331,1.31,1427.194753437
1478.2189228671,372.4581796287,1.3,1423.5977711506
1464.0010038289,367.7772524367,1.29,1419.983144392
1449.8193202236,363.1095082258,1.28,1416.3506472261
1435.6740519137,358.4550103863,1.27,1412.7000490551
1421.565381071,353.8138231369,1.26,1409.0311144507
1407.4934922621,349.1860115543,1.25,1405.3436030531
1393.4585724801,344.5716415855,1.24,1401.6372694077
1379.4608111945,339.9707800658,1.23,1397.9118628133
1365.5004004119,335.3834947408,1.22,1394.1671271743
