# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
4.254150e+15, 1.513085e+36, 2e+39
4.253650e+15, 1.512816e+36, 2e+39
4.253150e+15, 1.512548e+36, 2e+39
4.252650e+15, 1.512279e+36, 2e+39
4.252151e+15, 1.512011e+36, 2e+39
4.251652e+15, 1.511742e+36, 2e+39
4.251154e+15, 1.511473e+36, 2e+39
4.250653e+15, 1.511205e+36, 2e+39
4.250156e+15, 1.510936e+36, 2e+39
4.249655e+15, 1.510668e+36, 2e+39
4.249157e+15, 1.510399e+36, 2e+39
4.248656e+15, 1.510131e+36, 2e+39
4.248156e+15, 1.509862e+36, 2e+39
4.247659e+15, 1.509594e+36, 2e+39
4.247159e+15, 1.509326e+36, 2e+39
4.246659e+15, 1.509057e+36, 2e+39
4.246159e+15, 1.508789e+36, 2e+39
4.245661e+15, 1.508521e+36, 2e+39
4.245161e+15, 1.508252e+36, 2e+39
4.244662e+15, 1.507984e+36, 2e+39
4.244164e+15, 1.507716e+36, 2e+39
4.243665e+15, 1.507448e+36, 2e+39
4.243165e+15, 1.507179e+36, 2e+39
4.242667e+15, 1.506911e+36, 2e+39
4.242167e+15, 1.506643e+36, 2e+39
4.241669e+15, 1.506375e+36, 2e+39
4.241167e+15, 1.506107e+36, 2e+39
4.240673e+15, 1.505839e+36, 2e+39
4.240170e+15, 1.505571e+36, 2e+39
4.239673e+15, 1.505303e+36, 2e+39
4.239176e+15, 1.505035e+36, 2e+39
4.238673e+15, 1.504767e+36, 2e+39
4.238177e+15, 1.504499e+36, 2e+39
4.237677e+15, 1.504231e+36, 2e+39
4.237180e+15, 1.503963e+36, 2e+39
4.236678e+15, 1.503695e+36, 2e+39
4.236183e+15, 1.503427e+36, 2e+39
4.235682e+15, 1.503159e+36, 2e+39
4.235184e+15, 1.502891e+36, 2e+39
4.234688e+15, 1.502623e+36, 2e+39
4.234186e+15, 1.502356e+36, 2e+39
4.233689e+15, 1.502088e+36, 2e+39
4.233190e+15, 1.501820e+36, 2e+39
4.232689e+15, 1.501552e+36, 2e+39
4.232192e+15, 1.501285e+36, 2e+39
4.231696e+15, 1.501017e+36, 2e+39
4.231194e+15, 1.500749e+36, 2e+39
4.230698e+15, 1.500482e+36, 2e+39
4.230198e+15, 1.500214e+36, 2e+39
4.229702e+15, 1.499946e+36, 2e+39
4.229201e+15, 1.499679e+36, 2e+39
4.228702e+15, 1.499411e+36, 2e+39
4.228205e+15, 1.499144e+36, 2e+39
4.227706e+15, 1.498876e+36, 2e+39
4.227209e+15, 1.498609e+36, 2e+39
4.226710e+15, 1.498341e+36, 2e+39
4.226214e+15, 1.498074e+36, 2e+39
4.225714e+15, 1.497806e+36, 2e+39
4.225214e+15, 1.497539e+36, 2e+39
4.224718e+15, 1.497272e+36, 2e+39
4.224220e+15, 1.497004e+36, 2e+39
4.223722e+15, 1.496737e+36, 2e+39
4.223222e+15, 1.496470e+36, 2e+39
4.222727e+15, 1.496202e+36, 2e+39
4.222226e+15, 1.495935e+36, 2e+39
4.221728e+15, 1.495668e+36, 2e+39
4.221230e+15, 1.495401e+36, 2e+39
4.220734e+15, 1.495134e+36, 2e+39
4.220235e+15, 1.494866e+36, 2e+39
4.219737e+15, 1.494599e+36, 2e+39
4.219237e+15, 1.494332e+36, 2e+39
4.218740e+15, 1.494065e+36, 2e+39
4.218240e+15, 1.493798e+36, 2e+39
4.217745e+15, 1.493531e+36, 2e+39
4.217245e+15, 1.493264e+36, 2e+39
4.216747e+15, 1.492997e+36, 2e+39
4.216251e+15, 1.492730e+36, 2e+39
4.215752e+15, 1.492463e+36, 2e+39
4.215253e+15, 1.492196e+36, 2e+39
4.214757e+15, 1.491929e+36, 2e+39
4.214259e+15, 1.491662e+36, 2e+39
4.213761e+15, 1.491395e+36, 2e+39
4.213262e+15, 1.491128e+36, 2e+39
4.212767e+15, 1.490862e+36, 2e+39
4.212268e+15, 1.490595e+36, 2e+39
4.211770e+15, 1.490328e+36, 2e+39
4.211271e+15, 1.490061e+36, 2e+39
4.210775e+15, 1.489795e+36, 2e+39
4.210280e+15, 1.489528e+36, 2e+39
4.209779e+15, 1.489261e+36, 2e+39
4.209282e+15, 1.488994e+36, 2e+39
4.208782e+15, 1.488728e+36, 2e+39
4.208289e+15, 1.488461e+36, 2e+39
4.207789e+15, 1.488195e+36, 2e+39
4.207291e+15, 1.487928e+36, 2e+39
4.206794e+15, 1.487661e+36, 2e+39
4.206299e+15, 1.487395e+36, 2e+39
4.205800e+15, 1.487128e+36, 2e+39
4.205305e+15, 1.486862e+36, 2e+39
4.204804e+15, 1.486595e+36, 2e+39
4.204307e+15, 1.486329e+36, 2e+39
4.203809e+15, 1.486063e+36, 2e+39
4.203313e+15, 1.485796e+36, 2e+39
4.202818e+15, 1.485530e+36, 2e+39
4.202319e+15, 1.485263e+36, 2e+39
4.201821e+15, 1.484997e+36, 2e+39
4.201326e+15, 1.484731e+36, 2e+39
4.200824e+15, 1.484465e+36, 2e+39
4.200334e+15, 1.484198e+36, 2e+39
4.199832e+15, 1.483932e+36, 2e+39
4.199336e+15, 1.483666e+36, 2e+39
4.198839e+15, 1.483400e+36, 2e+39
4.198342e+15, 1.483133e+36, 2e+39
4.197844e+15, 1.482867e+36, 2e+39
4.197348e+15, 1.482601e+36, 2e+39
4.196849e+15, 1.482335e+36, 2e+39
4.196352e+15, 1.482069e+36, 2e+39
4.195855e+15, 1.481803e+36, 2e+39
4.195361e+15, 1.481537e+36, 2e+39
4.194863e+15, 1.481271e+36, 2e+39
4.194365e+15, 1.481005e+36, 2e+39
4.193868e+15, 1.480739e+36, 2e+39
4.193373e+15, 1.480473e+36, 2e+39
4.192873e+15, 1.480207e+36, 2e+39
4.192378e+15, 1.479941e+36, 2e+39
4.191882e+15, 1.479675e+36, 2e+39
4.191385e+15, 1.479409e+36, 2e+39
4.190885e+15, 1.479144e+36, 2e+39
4.190391e+15, 1.478878e+36, 2e+39
4.189892e+15, 1.478612e+36, 2e+39
4.189400e+15, 1.478346e+36, 2e+39
4.188900e+15, 1.478081e+36, 2e+39
4.188403e+15, 1.477815e+36, 2e+39
4.187909e+15, 1.477549e+36, 2e+39
4.187411e+15, 1.477283e+36, 2e+39
4.186914e+15, 1.477018e+36, 2e+39
4.186416e+15, 1.476752e+36, 2e+39
4.185921e+15, 1.476487e+36, 2e+39
4.185424e+15, 1.476221e+36, 2e+39
4.184927e+15, 1.475955e+36, 2e+39
4.184433e+15, 1.475690e+36, 2e+39
4.183934e+15, 1.475424e+36, 2e+39
4.183440e+15, 1.475159e+36, 2e+39
4.182942e+15, 1.474893e+36, 2e+39
4.182447e+15, 1.474628e+36, 2e+39
4.181949e+15, 1.474363e+36, 2e+39
4.181454e+15, 1.474097e+36, 2e+39
4.180955e+15, 1.473832e+36, 2e+39
4.180459e+15, 1.473566e+36, 2e+39
4.179963e+15, 1.473301e+36, 2e+39
4.179468e+15, 1.473036e+36, 2e+39
4.178971e+15, 1.472770e+36, 2e+39
4.178475e+15, 1.472505e+36, 2e+39
4.177978e+15, 1.472240e+36, 2e+39
